Premium Price,Conversion,Customer Age,Customer Gender,Location,Vehicle Make,Vehicle Age,Coverage Type,Claims History,Discounts Offered,Policy Duration,Customer Loyalty,Marketing Channel,Competitor Pricing,Sales Campaigns
863,0.0,33,Other,Rural,BMW,0,Comprehensive,2,213,6,9,Online,765,3
287,0.0,38,Male,Urban,Chevrolet,2,Liability,3,81,6,1,Agent,126,1
479,0.0,43,Female,Urban,Nissan,15,Comprehensive,3,346,6,1,Agent,576,3
592,0.0,53,Other,Rural,Hyundai,0,Third-Party,1,63,6,3,Referral,654,4
1164,0.0,36,Other,Rural,Chevrolet,17,Liability,2,257,12,5,Television,1290,2
1280,0.0,34,Female,Rural,Ford,13,Collision,0,256,6,5,Social Media,1110,4
114,0.0,62,Female,Rural,Ford,6,Third-Party,2,117,12,5,Social Media,-31,0
164,0.0,43,Female,Rural,Ford,2,Third-Party,2,319,12,5,Online,289,3
620,0.0,39,Male,Rural,Nissan,15,Third-Party,1,488,12,0,Online,509,1
1467,0.0,45,Male,Urban,Chevrolet,5,Third-Party,0,327,12,0,Online,1514,0
1252,0.0,18,Other,Suburban,Chevrolet,17,Comprehensive,1,340,12,2,Agent,1438,2
747,0.0,61,Other,Rural,Toyota,12,Comprehensive,0,23,6,1,Online,731,3
1186,0.0,53,Female,Rural,Chevrolet,1,Third-Party,4,385,6,6,Referral,1093,2
1262,0.0,60,Other,Rural,Mercedes,11,Liability,4,235,12,5,Online,1219,0
692,0.0,54,Other,Suburban,Ford,3,Third-Party,3,314,12,4,Television,713,1
491,0.0,19,Female,Rural,Chevrolet,8,Collision,1,101,6,7,Online,491,2
518,0.0,34,Male,Rural,Nissan,19,Third-Party,4,475,6,1,Social Media,707,3
388,0.0,57,Male,Suburban,Hyundai,4,Comprehensive,2,417,12,6,Social Media,340,4
478,0.0,55,Male,Rural,Ford,9,Collision,2,311,6,9,Online,627,4
330,0.0,38,Other,Suburban,Volkswagen,5,Liability,4,459,12,3,Social Media,155,2
1117,0.0,26,Female,Suburban,Mercedes,0,Third-Party,1,369,12,2,Online,1239,1
140,0.0,30,Male,Rural,Volkswagen,19,Collision,3,4,6,0,Online,112,0
1151,0.0,28,Other,Urban,Ford,4,Third-Party,2,108,12,9,Agent,1151,3
234,0.0,33,Female,Urban,Toyota,5,Liability,3,379,6,1,Agent,403,2
300,0.0,33,Male,Rural,Nissan,18,Liability,2,182,6,6,Social Media,326,3
879,0.0,19,Male,Suburban,Hyundai,10,Collision,0,118,12,2,Social Media,941,1
1029,0.0,59,Female,Suburban,Hyundai,14,Liability,4,291,12,4,Referral,1121,4
1156,0.0,61,Other,Suburban,Ford,1,Collision,1,327,12,2,Referral,1067,0
1171,0.0,25,Other,Rural,Chevrolet,14,Liability,2,349,6,6,Online,1061,4
602,0.0,60,Male,Urban,Toyota,6,Comprehensive,4,182,12,3,Referral,429,0
506,0.0,59,Female,Suburban,Nissan,16,Collision,3,137,6,7,Television,542,4
904,0.0,30,Other,Suburban,Ford,11,Third-Party,1,84,6,9,Agent,1067,2
198,0.0,34,Female,Rural,Chevrolet,11,Collision,1,173,12,7,Social Media,316,1
783,0.0,56,Female,Urban,Ford,4,Liability,4,51,6,3,Referral,702,4
825,0.0,41,Male,Urban,Toyota,19,Liability,4,445,12,1,Television,747,1
1060,0.0,20,Female,Rural,Nissan,6,Liability,4,225,12,6,Referral,1105,4
712,0.0,47,Female,Urban,Mercedes,1,Third-Party,0,225,6,0,Social Media,572,3
742,0.0,69,Female,Rural,Ford,12,Third-Party,0,131,12,8,Referral,923,4
1128,0.0,30,Other,Suburban,Chevrolet,8,Liability,1,183,12,4,Agent,1061,0
1341,0.0,36,Male,Rural,Honda,14,Comprehensive,4,266,12,9,Referral,1460,3
602,0.0,24,Male,Suburban,Honda,14,Collision,0,469,12,3,Television,746,2
866,0.0,26,Female,Rural,Honda,0,Liability,1,104,12,3,Referral,876,2
497,0.0,36,Female,Suburban,Chevrolet,19,Comprehensive,2,177,12,8,Social Media,412,2
970,0.0,62,Other,Suburban,Toyota,2,Third-Party,4,188,12,0,Referral,798,1
894,0.0,57,Male,Rural,Toyota,0,Liability,0,150,6,3,Television,980,2
492,0.0,39,Other,Suburban,Nissan,18,Collision,1,381,12,5,Referral,553,4
306,0.0,35,Male,Urban,BMW,19,Collision,4,112,12,7,Online,267,3
1138,0.0,40,Other,Rural,Honda,12,Third-Party,1,481,6,1,Social Media,1089,0
991,0.0,19,Female,Urban,Hyundai,14,Liability,2,285,12,7,Online,992,2
963,0.0,67,Other,Suburban,BMW,12,Liability,1,122,12,8,Online,1140,0
842,0.0,67,Female,Suburban,Kia,17,Liability,1,472,6,7,Social Media,956,1
1364,0.0,28,Male,Suburban,Honda,16,Comprehensive,2,87,12,4,Social Media,1494,1
663,0.0,48,Male,Rural,Hyundai,0,Comprehensive,3,24,6,0,Television,742,0
1120,0.0,50,Female,Suburban,Toyota,14,Liability,4,29,12,5,Television,921,4
195,0.0,31,Male,Urban,Hyundai,3,Collision,2,166,6,0,Television,300,0
584,0.0,33,Other,Urban,BMW,1,Comprehensive,2,491,12,3,Online,637,3
330,0.0,28,Female,Rural,Mercedes,18,Collision,4,463,6,8,Referral,465,2
848,0.0,50,Male,Urban,Ford,7,Comprehensive,1,73,6,4,Agent,734,4
1294,0.0,24,Other,Rural,Volkswagen,15,Third-Party,0,478,6,6,Referral,1384,0
640,0.0,48,Other,Rural,Honda,7,Third-Party,4,379,12,8,Agent,816,3
1159,0.0,65,Male,Suburban,Toyota,9,Third-Party,2,394,6,3,Agent,1257,0
624,0.0,63,Male,Urban,Nissan,15,Collision,1,72,12,4,Agent,765,2
1283,0.0,64,Other,Urban,Honda,4,Collision,3,419,6,5,Agent,1373,1
1366,0.0,31,Female,Urban,Chevrolet,18,Liability,1,111,12,0,Social Media,1299,0
1209,0.0,45,Male,Suburban,BMW,5,Liability,0,210,6,9,Television,1192,3
677,0.0,60,Male,Rural,Toyota,9,Third-Party,1,179,6,4,Social Media,819,0
781,0.0,33,Female,Urban,Hyundai,4,Third-Party,0,4,6,9,Online,833,2
656,0.0,36,Female,Urban,Nissan,18,Comprehensive,3,331,6,3,Social Media,734,3
1112,0.0,34,Male,Urban,Ford,18,Third-Party,3,201,12,0,Television,1268,1
745,0.0,43,Female,Urban,Toyota,12,Third-Party,1,255,12,3,Referral,683,2
895,0.0,23,Other,Suburban,Ford,14,Third-Party,4,141,6,4,Television,1038,0
1151,0.0,60,Other,Rural,Honda,7,Collision,4,403,6,8,Referral,1135,4
1463,0.0,66,Other,Urban,Honda,10,Collision,4,19,12,0,Online,1525,0
1454,0.0,26,Male,Urban,Volkswagen,0,Third-Party,3,427,12,5,Agent,1429,1
1471,0.0,67,Female,Rural,BMW,3,Comprehensive,0,99,12,7,Social Media,1355,0
1354,0.0,34,Other,Suburban,Hyundai,12,Comprehensive,2,499,6,8,Agent,1401,4
289,0.0,48,Female,Suburban,Honda,6,Liability,1,280,12,4,Online,167,1
1348,0.0,29,Other,Suburban,Mercedes,6,Third-Party,0,168,6,1,Online,1219,1
1406,0.0,40,Female,Suburban,Chevrolet,5,Collision,2,365,12,0,Referral,1425,0
732,0.0,22,Other,Urban,Volkswagen,7,Third-Party,3,382,6,4,Referral,872,2
727,0.0,60,Other,Rural,Toyota,11,Comprehensive,2,324,12,2,Online,854,1
1072,0.0,53,Other,Rural,Chevrolet,17,Collision,3,232,6,5,Television,963,3
1382,0.0,53,Other,Rural,Nissan,14,Collision,3,90,6,8,Agent,1548,1
1482,0.0,20,Other,Suburban,Hyundai,15,Collision,0,257,12,0,Social Media,1389,3
809,0.0,41,Other,Suburban,Toyota,0,Liability,4,395,12,3,Online,843,2
748,0.0,34,Other,Rural,Volkswagen,9,Third-Party,4,27,6,3,Social Media,712,4
417,0.0,56,Other,Urban,Ford,14,Third-Party,0,43,12,6,Online,333,3
1348,0.0,43,Other,Suburban,Chevrolet,12,Third-Party,1,140,6,1,Referral,1366,3
1357,0.0,21,Female,Urban,Chevrolet,18,Comprehensive,3,84,6,7,Referral,1310,4
783,0.0,62,Female,Rural,Volkswagen,12,Collision,1,298,6,5,Online,658,1
763,0.0,29,Male,Suburban,Ford,8,Collision,3,310,12,3,Social Media,753,3
1497,0.0,18,Other,Urban,Nissan,15,Comprehensive,3,391,12,2,Agent,1650,3
1356,0.0,38,Female,Suburban,Honda,13,Liability,4,379,6,9,Online,1250,4
1236,0.0,36,Female,Rural,Hyundai,8,Comprehensive,4,319,6,6,Online,1418,1
541,0.0,38,Female,Rural,BMW,17,Collision,3,372,6,8,Television,343,0
663,0.0,69,Female,Rural,Volkswagen,3,Liability,4,267,12,1,Online,552,3
1391,0.0,35,Female,Urban,BMW,11,Liability,4,296,6,7,Referral,1503,2
1236,0.0,60,Female,Suburban,Toyota,4,Collision,2,43,6,1,Television,1089,4
1051,0.0,69,Male,Suburban,Hyundai,10,Comprehensive,2,10,6,5,Television,1048,3
1204,0.0,20,Female,Suburban,Kia,4,Third-Party,3,274,6,7,Referral,1061,1
798,0.0,66,Male,Rural,Nissan,18,Third-Party,4,380,12,0,Referral,745,2
212,0.0,61,Male,Urban,Chevrolet,6,Third-Party,2,315,6,6,Referral,190,0
101,0.0,49,Other,Rural,Nissan,3,Comprehensive,1,199,6,8,Social Media,68,2
741,0.0,27,Other,Rural,BMW,7,Collision,3,410,6,5,Television,709,3
319,0.0,57,Other,Urban,Kia,5,Comprehensive,3,198,6,5,Agent,183,2
954,0.0,32,Female,Rural,Hyundai,5,Third-Party,1,468,12,8,Agent,1022,0
1348,0.0,22,Other,Rural,Ford,3,Third-Party,3,120,6,1,Social Media,1339,1
484,0.0,21,Female,Suburban,Chevrolet,13,Third-Party,4,410,12,3,Agent,624,0
1253,0.0,45,Female,Urban,Mercedes,2,Comprehensive,2,13,6,7,Television,1064,0
1176,0.0,69,Other,Urban,BMW,9,Comprehensive,0,479,12,4,Referral,1295,4
829,0.0,68,Other,Suburban,Toyota,5,Third-Party,2,476,6,8,Television,800,4
346,0.0,21,Male,Urban,Hyundai,17,Liability,1,407,12,2,Social Media,413,0
935,0.0,32,Male,Suburban,Hyundai,9,Third-Party,0,63,12,5,Social Media,1016,2
302,0.0,34,Female,Rural,Honda,8,Collision,4,219,12,5,Online,399,2
1307,0.0,61,Female,Urban,Chevrolet,15,Comprehensive,4,151,12,2,Social Media,1210,0
222,0.0,20,Other,Urban,Chevrolet,19,Liability,2,245,6,5,Social Media,177,2
500,0.0,27,Other,Rural,Kia,3,Liability,3,385,12,0,Television,516,1
866,0.0,64,Male,Rural,Volkswagen,10,Collision,3,435,6,4,Television,969,2
393,0.0,59,Other,Urban,Mercedes,11,Third-Party,1,94,6,1,Social Media,433,2
379,0.0,40,Female,Urban,Ford,18,Third-Party,3,267,6,7,Television,445,0
983,0.0,35,Other,Urban,Chevrolet,9,Third-Party,4,192,6,6,Television,881,2
297,0.0,18,Male,Suburban,Toyota,6,Collision,0,443,6,6,Social Media,388,2
1081,0.0,52,Female,Urban,Honda,6,Comprehensive,2,57,12,9,Referral,1037,4
851,0.0,48,Male,Urban,Chevrolet,17,Comprehensive,2,468,6,3,Social Media,690,4
243,0.0,61,Male,Rural,Volkswagen,2,Collision,2,476,12,1,Agent,335,2
708,0.0,18,Female,Rural,Honda,11,Comprehensive,3,93,6,2,Television,875,2
1324,0.0,20,Male,Suburban,BMW,13,Collision,0,297,6,9,Online,1300,0
1247,0.0,20,Other,Rural,Toyota,19,Collision,3,0,12,3,Social Media,1118,1
286,0.0,54,Other,Urban,Chevrolet,1,Liability,3,405,6,2,Referral,266,4
1449,0.0,36,Male,Urban,Ford,8,Liability,4,361,12,2,Referral,1612,3
563,0.0,46,Other,Suburban,Chevrolet,9,Comprehensive,4,327,6,0,Television,473,2
1472,0.0,42,Male,Rural,BMW,5,Liability,3,396,12,0,Social Media,1596,3
759,0.0,50,Other,Rural,Honda,16,Comprehensive,1,205,6,7,Social Media,612,0
863,0.0,53,Male,Rural,Mercedes,14,Collision,1,489,12,7,Agent,800,3
1054,0.0,46,Other,Suburban,Ford,0,Comprehensive,1,192,12,0,Social Media,1086,1
502,0.0,43,Female,Rural,BMW,12,Liability,3,223,12,3,Agent,604,1
1469,0.0,21,Female,Rural,Chevrolet,9,Comprehensive,0,37,6,1,Referral,1347,0
246,0.0,66,Other,Rural,BMW,11,Liability,1,447,12,0,Social Media,253,4
1271,0.0,31,Male,Urban,Hyundai,15,Collision,4,331,6,1,Television,1102,2
963,0.0,67,Other,Suburban,Mercedes,1,Third-Party,2,307,12,0,Agent,1074,3
588,0.0,44,Male,Urban,Nissan,2,Collision,2,494,6,4,Agent,619,0
1028,0.0,50,Other,Suburban,Volkswagen,7,Liability,3,492,6,9,Television,1006,1
650,0.0,39,Other,Rural,Hyundai,19,Comprehensive,2,110,6,5,Online,814,1
437,0.0,65,Female,Urban,BMW,14,Liability,3,251,6,7,Television,410,0
971,0.0,20,Male,Rural,Volkswagen,18,Liability,2,335,12,9,Agent,805,0
740,0.0,40,Male,Rural,Ford,17,Third-Party,0,471,12,7,Television,627,0
572,0.0,38,Male,Suburban,Kia,0,Comprehensive,0,491,12,3,Agent,486,3
250,0.0,58,Male,Rural,Hyundai,18,Liability,0,83,12,2,Online,340,1
1421,0.0,40,Male,Urban,Ford,1,Collision,0,490,6,4,Social Media,1324,0
362,0.0,21,Female,Suburban,BMW,4,Collision,1,363,12,7,Referral,351,2
243,0.0,38,Other,Suburban,Mercedes,17,Liability,4,159,6,4,Online,206,0
445,0.0,54,Male,Urban,Chevrolet,15,Liability,0,154,12,9,Social Media,320,0
723,0.0,60,Male,Rural,Volkswagen,9,Liability,1,97,6,6,Television,710,3
1116,0.0,48,Other,Rural,Kia,2,Liability,3,188,6,3,Agent,995,4
980,0.0,38,Female,Rural,Honda,9,Collision,2,85,6,1,Online,1084,1
101,0.0,43,Female,Rural,BMW,12,Third-Party,2,61,6,8,Television,225,0
996,0.0,58,Female,Rural,Ford,9,Liability,1,258,6,9,Social Media,906,3
1427,0.0,52,Other,Suburban,Honda,10,Comprehensive,2,80,6,1,Referral,1246,4
353,0.0,55,Other,Suburban,Volkswagen,6,Third-Party,0,381,6,1,Online,328,4
552,0.0,41,Female,Urban,BMW,1,Collision,2,461,6,7,Referral,579,4
1160,0.0,28,Female,Rural,Honda,18,Liability,0,346,12,9,Television,1343,0
1283,0.0,58,Other,Rural,BMW,17,Liability,0,358,6,5,Social Media,1265,0
1114,0.0,46,Female,Rural,Hyundai,10,Liability,2,467,12,4,Online,1009,3
108,0.0,64,Male,Urban,Honda,16,Liability,1,365,12,2,Social Media,267,1
1356,0.0,20,Other,Rural,Kia,2,Comprehensive,3,94,6,6,Agent,1422,3
1222,0.0,18,Female,Suburban,Nissan,19,Liability,1,488,12,7,Social Media,1352,4
915,0.0,69,Male,Rural,Volkswagen,11,Collision,4,286,12,8,Social Media,891,2
307,0.0,36,Other,Urban,BMW,1,Comprehensive,4,220,12,1,Social Media,118,1
1254,0.0,63,Other,Suburban,Honda,0,Third-Party,0,191,6,7,Online,1227,3
503,0.0,66,Male,Suburban,Mercedes,8,Third-Party,0,169,12,4,Online,333,1
251,0.0,39,Other,Suburban,Honda,18,Third-Party,1,57,6,0,Online,346,2
153,0.0,31,Female,Rural,Hyundai,7,Liability,1,42,6,9,Referral,46,4
1243,0.0,66,Other,Urban,Ford,8,Third-Party,0,159,12,6,Television,1382,3
727,0.0,31,Female,Urban,Honda,6,Comprehensive,3,157,6,6,Television,809,1
686,0.0,61,Male,Rural,Nissan,3,Comprehensive,3,234,12,9,Social Media,638,1
203,0.0,33,Male,Urban,Kia,15,Third-Party,4,474,6,2,Referral,356,0
353,0.0,50,Other,Suburban,Volkswagen,5,Third-Party,3,338,12,2,Television,187,4
1350,0.0,30,Male,Suburban,BMW,17,Comprehensive,2,382,6,3,Online,1329,3
1235,0.0,55,Male,Urban,BMW,1,Collision,0,444,12,4,Agent,1423,4
609,0.0,66,Other,Urban,BMW,10,Third-Party,1,411,12,4,Agent,447,0
198,0.0,29,Female,Rural,Chevrolet,4,Comprehensive,0,300,6,4,Television,188,2
252,0.0,68,Other,Rural,Hyundai,16,Third-Party,2,393,12,5,Referral,379,4
1013,0.0,55,Other,Rural,Mercedes,4,Comprehensive,3,143,6,0,Television,959,0
977,0.0,56,Female,Rural,Volkswagen,2,Liability,0,414,6,6,Online,883,2
437,0.0,50,Female,Rural,Volkswagen,18,Third-Party,2,9,6,3,Referral,382,4
921,0.0,50,Female,Rural,BMW,7,Third-Party,3,329,6,4,Agent,838,2
1286,0.0,46,Other,Suburban,Hyundai,10,Collision,4,347,12,7,Social Media,1293,3
1056,0.0,22,Female,Urban,Ford,2,Collision,4,267,12,7,Online,934,1
260,0.0,23,Male,Rural,Volkswagen,2,Collision,4,480,12,4,Referral,394,2
900,0.0,48,Female,Suburban,Honda,0,Collision,2,155,12,2,Social Media,1079,1
497,0.0,33,Male,Urban,Nissan,12,Third-Party,2,17,6,9,Online,581,3
1400,0.0,48,Female,Urban,Hyundai,9,Third-Party,1,435,6,7,Agent,1472,2
915,0.0,42,Male,Urban,BMW,5,Collision,1,411,6,1,Referral,729,1
1258,0.0,65,Male,Rural,Volkswagen,10,Collision,4,283,12,8,Television,1225,2
1318,0.0,63,Male,Rural,Chevrolet,7,Third-Party,0,490,12,5,Referral,1192,0
500,0.0,50,Male,Rural,Toyota,18,Liability,3,230,6,9,Referral,558,2
739,0.0,30,Male,Urban,Toyota,10,Comprehensive,1,447,6,3,Online,704,2
1156,0.0,69,Female,Urban,Mercedes,5,Collision,3,269,6,3,Television,1348,4
787,0.0,27,Other,Suburban,Volkswagen,11,Comprehensive,0,263,6,2,Agent,961,4
559,0.0,41,Other,Suburban,Kia,17,Liability,4,477,6,4,Social Media,483,3
1054,0.0,27,Other,Suburban,Ford,2,Liability,3,355,6,5,Agent,1099,3
569,0.0,58,Other,Suburban,Chevrolet,12,Liability,4,258,12,9,Television,544,3
1498,0.0,48,Other,Urban,Honda,3,Third-Party,3,201,12,2,Social Media,1354,1
1145,0.0,30,Male,Rural,Hyundai,8,Comprehensive,0,136,6,8,Referral,1148,3
849,0.0,20,Female,Rural,Honda,15,Liability,1,46,12,7,Social Media,825,3
137,0.0,67,Male,Rural,Volkswagen,11,Collision,2,62,12,5,Referral,159,4
329,0.0,69,Female,Rural,Nissan,19,Liability,4,423,12,4,Television,514,2
1488,0.0,51,Female,Suburban,Toyota,6,Collision,1,76,12,2,Agent,1559,3
662,0.0,66,Female,Urban,Volkswagen,11,Collision,3,341,6,2,Online,722,3
537,0.0,45,Female,Rural,Hyundai,7,Liability,1,120,6,7,Social Media,545,2
1406,0.0,36,Other,Urban,Volkswagen,14,Collision,2,407,12,5,Online,1268,4
126,0.0,40,Female,Suburban,Kia,1,Collision,4,454,6,9,Online,166,4
325,0.0,62,Female,Suburban,Kia,10,Third-Party,4,12,12,5,Social Media,180,2
1400,0.0,49,Other,Rural,Toyota,4,Comprehensive,1,389,6,3,Online,1431,4
897,0.0,30,Male,Rural,Nissan,5,Third-Party,0,457,6,2,Online,1095,4
383,0.0,50,Male,Suburban,Hyundai,18,Third-Party,3,178,12,5,Online,371,0
978,0.0,51,Male,Suburban,BMW,13,Third-Party,1,315,6,0,Agent,1045,1
1059,0.0,50,Male,Urban,Ford,6,Comprehensive,0,330,6,4,Referral,996,2
552,0.0,22,Female,Suburban,Volkswagen,11,Comprehensive,4,156,6,6,Agent,697,1
1119,0.0,20,Other,Urban,Hyundai,16,Liability,3,15,12,0,Agent,1090,2
915,0.0,24,Other,Suburban,Nissan,3,Third-Party,4,245,12,9,Referral,934,0
758,0.0,41,Male,Urban,BMW,19,Comprehensive,2,467,12,3,Referral,772,2
